X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2421337765751,40.1194247275896,469,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257423.83747499,1009759.758,1,,853,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2420872885286,40.1195438236827,470,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257467.2359,1009771.803,1,,854,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2420375100368,40.1196617958845,471,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257510.225425,1009785.463,1,,855,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.2419709209203,40.1198118674416,472,Cast Aluminum,Other,Cobra,HPS,250,SL054,1257564.91345,1009802.554,1,,856,Yes,5/7,Black,,GE,Yes,,AERIAL,,
-88.238182619323,40.1108414442257,473,Aluminum,Other,Cobra,HPS,100,SL086,1254298.240125,1010865.5088,1,,857,Yes,,Black,,GE,No,,AERIAL,,
-88.2383993738472,40.1108660677547,474,Aluminum,Other,Cobra,HPS,100,SL086,1254309.280625,1010805.367275,1,,858,Yes,,Black,,GE,No,,AERIAL,,
-88.2386199985026,40.1107923538892,475,Cast Aluminum,Combo,Teardrop/Teardrop,LED,250/100,SL118,1254280.22675,1010743.192,8,2018/01/01 06:00:00+00,859,Yes,118B8,Black,Sternberg,GE,Yes,,GPS,,
-88.2353224290422,40.1107632275144,476,Aluminum,Other,Globe,HPS,100,SL086,1254272.091625,1011667.1054,1,,860,Yes,,Black,,GE,Yes,,AERIAL,,
-88.235149316291,40.1108283636062,477,Aluminum,Other,Cobra,HPS,100,SL086,1254295.334775,1011715.9159,1,,861,Yes,,Black,,GE,No,,AERIAL,,
-88.2349788841004,40.1107684562281,478,Aluminum,Other,Cobra,HPS,100,SL086,1254272.6267,1011761.6311,1,,862,Yes,,Black,,GE,No,,AERIAL,,
-88.2347360406018,40.1107691080546,479,Aluminum,Other,Cobra,HPS,100,SL086,1254272.9392,1011829.554825,1,,863,Yes,,Black,,GE,No,,AERIAL,,
